url,first_name,last_name,headline,about,match,reason,score
"https://www.linkedin.com/sales/lead/ACwAAAKHnocBW8II2vJLMGvQTEDW272u4lKm-lE,NAME_SEARCH,91Yx?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Mike,Bonner,VP - Engineering & Technology | Point of Application Temperature & Viscosity Control for Fluid Dispensing Processes,"Michael Bonner is the Vice President of Engineering & Technology for Saint Clair Systems, Inc., a leading supplier of process temperature control equipment for industrial fluid dispensing systems. A degreed electrical engineer, over the years he … Show more",YES,"The profile of Michael Bonner, VP of Engineering & Technology for Saint Clair Systems, Inc., aligns with the target client description. His company specializes in process temperature control equipment for industrial fluid dispensing systems, which is relevant to the keywords in the target client description such as 'high viscosity material pump', 'fluid transfer pump manufacturer', 'high pressure dispensing system', and 'industrial automation for fluid dispensing'. However, the profile does not provide specific information on all the keywords listed in the target client description.",0.7
"https://www.linkedin.com/sales/lead/ACwAAAKyQ2wBTH3MXqfromzuGbn76XmQeexLDQw,NAME_SEARCH,Hcc0?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Todd,Hendricks,Owner/Engineer @ Pioneer Industrial Systems and Robotics Maintenance Vehicles,"PIONEER INDUSTRIAL SYSTEMS designs and builds custom machines, robot cells, and automation. Pioneer is a Fanuc Robotics Authorized Strategic Systems Integrator specializing in Tire, Paint and Dispense, and Custom AutomationCheck us out at www.pioneerindsys.com

Specialties:

Robotic Tire Spraying and Material Handling Systems
- Green Tire Spraying for Mold or Bladder Release
- Finished Tire Spraying for White Wall Letters Protectant Spraying
- Tire High Point Painters
- Tire Conicity Striping and or Tread Striping
- Bead Loader Robots
- Creel Depal and Loader Robots
- Precision Fluid Delivery Systems to retrofit existing machines
- Tire Handling Robots
- Tire Inspection using Fanuc IrVision
- Plummer Spray Equipment spare parts

Paint and Dispense
- Fanuc Paint Robot Integrator
- Fluid dispensing
- Custom conveyors, ovens, paint booths
- Installations

Custom Automation
- Fanuc Robot Systems Integrator
- Robotic Palletizing and Depal
- Robotic Part Deflash
- Press Tending
- Custom Machines and Conveyors
- Pallet Dispensers
- PLC/HMI/Servo Control Panels
Show less",YES,"The profile specializes in custom automation, robotic systems, and fluid dispensing, which aligns with the target's need for industrial automation for fluid dispensing, custom spray systems for automation, and robotic spray integration partner. They also have experience in the automotive sector, which is one of the target's industries.",0.8
"https://www.linkedin.com/sales/lead/ACwAAAIk1NABcfMp3qd2XKJRTaHEEwvpl9ZE01Q,NAME_SEARCH,GJhy?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Jeff,Cummins,Midwest Business Development Manager,"Experienced Technical Sales and Support Manager with a demonstrated history of working in the industrial automation industry. Skilled in DMAIC, Sales, Value Stream Mapping, Paint, and Failure Mode and Effects Analysis (FMEA). Strong sal … Show more",YES,"The profile indicates experience in industrial automation and technical sales, which aligns with the target client's needs in the industrial and automation sectors. The profile also mentions skills in 'Paint', which could potentially relate to several of the target's keywords such as 'industrial paint sprayer', 'automated paint spray machine', and 'airless spray for wood finish'. However, the profile does not specifically mention experience with many of the specific systems and equipment listed in the target's keywords.",0.6
"https://www.linkedin.com/sales/lead/ACwAAAFECewB13SBjDRZoVvV45qhFde61UR56N4,NAME_SEARCH,_N0w?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",DAVID,DEHN,Automation Engineering Specialist,"Innovative product manager and project manager experienced in development and implementation of automation systems and products. Process development and optimization, intellectual property license negotiations, Product Development and improvement, Program Management and automation integration specialist. Lead equipment process risk assessment, failure mode analysis and FEA analysis.
Show less",YES,"The profile indicates that the individual is experienced in automation systems and products, which aligns with the target's need for industrial automation for fluid dispensing, robotic spray integration, and custom spray systems for automation. However, the profile does not explicitly mention experience with specific equipment or systems mentioned in the target description, such as airless spray pumps, high viscosity material pumps, or ATEX compliant spray systems.",0.6
"https://www.linkedin.com/sales/lead/ACwAAAJDamIBrkUbIG7_9UiX78objpeYaJ5322M,NAME_SEARCH,I7dY?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Rob,Gladstone,"Temperature & Viscosity Control | CEO of Saint Clair Systems, Inc | Automotive Finishing, Coatings, Adhesives & Printing","I’m Rob Gladstone, Michigan-based entrepreneur and President of Saint Clair Systems, Inc. My team designs and creates fluid viscosity and temperature management systems that make manufacturing processes more predictable, consistent, and sus … Show more",YES,"The profile of Rob Gladstone, CEO of Saint Clair Systems, Inc, aligns with the target client description. His company specializes in fluid viscosity and temperature management systems, which is relevant to the industrial, automotive, and OEM/system integrators sectors mentioned in the target description. However, there is no specific mention of the other sectors such as pharma/medical devices, construction/polyurea/coatings, and furniture/wood coating, which makes the match not perfect.",0.6
"https://www.linkedin.com/sales/lead/ACwAAAVPKZsBc1x0-q21B_y8APpwlxJ8W1Dgb6w,NAME_SEARCH,KQEi?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Michael,Operacz,Senior Controls/Software Design Engineer,"Skills Summary ◊
∞ System Analysis and PLC/PC Software Design
∞ Allen Bradley PLC/RSLogix Programming … Show more",YES,"The profile indicates that the person is a Senior Controls/Software Design Engineer with skills in system analysis and PLC/PC software design, which aligns with the target client description in the OEMs / SYSTEM INTEGRATORS / INDUSTRIAL AUTOMATION section, specifically with keywords such as 'PLC-integrated dispensing solution' and 'industrial automation for fluid dispensing'. However, the profile does not provide information on experience or skills related to other keywords in the target client description.",0.3
"https://www.linkedin.com/sales/lead/ACwAAAFstCMBySt46ih52UdMGQR_U8Asd9ljCbE,NAME_SEARCH,luDS?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Scott,Boboltz,Senior R & D Engineer,"A diverse career background established from a broad cross section of industries, with unique experiences and proven ability to become a solid and dependable contributor and leader in research, concept development, new product design, engineerin … Show more",NO,"The LinkedIn profile provided is of a Senior R&D Engineer with a background in research, concept development, and new product design. However, the target client description is looking for expertise in specific industrial, automotive, pharma/medical devices, construction, furniture/wood coating, and OEMs/system integrators/industrial automation. The profile does not mention any experience or skills related to these specific areas or the keywords provided.",0.1
"https://www.linkedin.com/sales/lead/ACwAAAK6xIwBWPVlc1Abqg66vi-RnmYt9robLpE,NAME_SEARCH,3EvT?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Edward,Minch,Director of Sales - Automotive Component & General Industry - Paint,"Experienced leader in robotic system sales, engineering, integration, installation, applications and operation. Industry wide contact base of OEM customers and facilities - U.S. based and International customers on multiple continents. Widely recognized authority on automated paint processes

Specialties: Sales Account Management, Manufacturing Engineering and Automation (Painting, Dispensing, Material Handling, Welding), Paint and Plating Chemical Engineering, Manufacturing Consulting, Material and Labor Cost Savings Initiatives.
Show less",YES,"The profile is a Director of Sales in the automotive component and general industry with a focus on paint. They have experience in robotic system sales, engineering, integration, installation, applications and operation. They also have a wide contact base of OEM customers and facilities. This aligns well with the target client description, particularly in the areas of general industrial, automotive, and OEMs/system integrators/industrial automation. However, there is no mention of experience or expertise in the pharma/medical devices, construction/polyurea/coatings, and furniture/wood coating sectors.",0.6
"https://www.linkedin.com/sales/lead/ACwAAABHtIIBCQtTiMalOWmelvqZfm5fm6cs-Xw,NAME_SEARCH,chtX?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Greg,Wyatt,Executive Leadership | COO | Global Turnarounds | Transformation | Strategy | Execution | Lean | Supply Chain | P&L Mgmt,"Global operations leader with two decades of continued advancement in Fortune 300 companies as well as small-mid size business. Consistently recognized for ability to develop hi-performing teams and for leading them to excel, regardless of … Show more",NO,"The LinkedIn profile is of an individual with experience in executive leadership and operations management, with no specific mention of experience or skills related to the industrial, automotive, pharma/medical, construction, furniture/wood coating, or OEMs/system integrators/industrial automation sectors. The keywords listed in the target client description do not align with the individual's profile.",0.0
"https://www.linkedin.com/sales/lead/ACwAAAEKx48Bx6-PpyZv7A2un-1T1TFVV9HCEC4,NAME_SEARCH,pqUN?_ntb=1yA3GHb%2BSySHGew%2BE4fk3g%3D%3D",Shawn,Mantel,Founder & CEO | Safety-Focused Applications Engineer,"Leading PowerSafe Automation for over nine years, our mission is to deliver turnkey machine safety and automation solutions that meet rigorous industry standards. Specializing in modular machine guarding systems, robotic safety cells, er … Show more",YES,"The profile specializes in machine safety and automation solutions, which aligns with the target client's need for industrial automation for fluid dispensing, custom spray systems for automation, and robotic spray integration. However, the profile does not explicitly mention experience with fluid handling systems, pumps, valves, or specific materials like airless spray, high viscosity material, or stainless steel.",0.6
